EmpName,left,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
Cornelia Cole,0,0.6,0.78,4.0,152.0,3.0,1,0,technical,medium
Lewis Mendoza,0,0.62,0.51,3.0,222.0,3.0,1,0,technical,medium
Estelle Francis,0,0.59,0.9,2.0,219.0,2.0,1,0,technical,medium
Henrietta Chambers,0,0.69,0.59,4.0,266.0,4.0,0,0,technical,medium
Eric Perez,0,0.36,0.94,3.0,113.0,5.0,1,0,technical,medium
Duane Williams,0,0.59,0.93,4.0,146.0,3.0,0,0,technical,medium
Rosie Cohen,0,0.5,0.51,5.0,238.0,4.0,0,0,technical,medium
Ruby Lawrence,0,0.53,0.99,3.0,188.0,3.0,0,0,technical,high
Daisy Griffith,0,0.84,0.9,4.0,237.0,2.0,0,0,technical,low
Myrtie Cohen,0,0.51,0.95,4.0,201.0,3.0,0,0,technical,medium
Owen Graves,0,0.53,0.56,5.0,188.0,3.0,0,0,technical,medium
Pauline Quinn,0,0.98,0.63,3.0,137.0,3.0,0,0,support,medium
Harriett Cunningham,0,0.95,0.81,4.0,263.0,3.0,0,0,support,medium
Lily Sims,0,0.13,0.76,5.0,217.0,3.0,0,0,support,low
Katherine Ford,0,0.5,0.64,4.0,213.0,4.0,0,0,support,low
Herman Ramsey,0,0.93,0.76,3.0,244.0,3.0,0,0,support,low
Dean Williams,0,0.5,0.87,3.0,252.0,2.0,0,0,support,low
Bill Andrews,0,0.66,0.84,4.0,168.0,2.0,0,0,support,low
Peter Curtis,0,0.89,0.79,4.0,212.0,3.0,0,0,support,low
Ryan Webb,0,0.46,0.43,4.0,258.0,3.0,0,0,support,low
Francis Morrison,0,0.67,0.6,4.0,210.0,3.0,0,0,support,low
Logan Atkins,0,0.96,0.9,4.0,246.0,3.0,0,0,support,low
Micheal Day,0,0.98,0.76,4.0,221.0,3.0,1,0,technical,low
Shane Huff,0,0.67,0.57,5.0,215.0,4.0,0,0,technical,low
Hunter Patrick,0,0.72,0.72,4.0,175.0,4.0,0,0,technical,low
Ronald Ross,0,0.65,0.49,5.0,221.0,2.0,0,0,management,low
Alex Santos,0,0.72,0.67,5.0,219.0,3.0,0,0,IT,low
Amanda Potter,0,0.78,0.58,3.0,154.0,3.0,0,0,IT,low
Luis Lewis,0,0.93,0.56,3.0,266.0,2.0,0,0,IT,low
Blanche Schneider,0,0.73,0.85,5.0,224.0,4.0,0,0,IT,low
Elsie Reed,0,0.2,0.57,4.0,269.0,5.0,1,0,IT,low
Jennie Green,0,0.47,0.5,4.0,159.0,2.0,0,0,product_mng,low
Josie Sims,0,0.56,0.62,4.0,247.0,3.0,0,0,product_mng,low
Jeanette Brock,0,0.72,0.86,4.0,137.0,2.0,0,0,product_mng,low
Derek Jefferson,0,0.91,0.56,4.0,251.0,4.0,0,0,product_mng,medium
Jane Mullins,0,0.79,0.49,5.0,210.0,3.0,0,0,IT,medium
Jane Burgess,0,0.53,0.75,2.0,123.0,4.0,0,0,RandD,medium
Sean Parsons,0,0.14,0.51,4.0,253.0,6.0,0,0,RandD,medium
Lola Henry,0,0.78,0.92,5.0,242.0,4.0,0,0,RandD,medium
Alexander Smith,0,0.52,0.74,3.0,238.0,3.0,0,0,RandD,medium
Isaiah Pittman,0,0.94,0.68,5.0,151.0,2.0,0,0,RandD,medium
Michael King,0,0.83,0.8,4.0,158.0,4.0,0,0,marketing,medium
Lora Bush,0,0.44,0.68,2.0,120.0,2.0,0,0,marketing,medium
Myrtie Woods,0,0.72,0.74,3.0,187.0,2.0,0,0,sales,medium
Marion Harvey,0,0.84,0.58,3.0,140.0,3.0,0,0,accounting,medium
Rose Todd,0,0.76,0.99,3.0,164.0,2.0,0,0,support,medium
Tom Potter,0,0.92,0.94,5.0,253.0,2.0,0,0,technical,high
Barry Hansen,0,0.58,0.93,5.0,235.0,2.0,0,0,management,low
Bernice Willis,0,0.85,0.81,4.0,189.0,4.0,0,0,marketing,medium
Dylan Houston,0,0.74,0.51,4.0,246.0,3.0,1,0,marketing,medium
Clara Jackson,0,0.74,0.87,4.0,258.0,2.0,0,0,marketing,medium
Madge Hanson,0,0.72,0.8,3.0,158.0,3.0,0,0,sales,medium
Julian Burgess,0,0.76,0.98,4.0,173.0,3.0,1,0,sales,low
Sallie Cross,0,0.85,0.72,3.0,201.0,3.0,0,0,sales,low
Albert Cortez,0,0.82,0.49,5.0,185.0,3.0,0,0,sales,low
Harriet Tate,0,0.6,0.93,5.0,270.0,3.0,1,0,sales,low
Frances Rios,0,0.39,0.64,3.0,152.0,2.0,0,0,sales,low
Christina Kennedy,0,0.83,0.53,3.0,211.0,4.0,1,0,sales,low
Lura Briggs,0,0.7,0.92,3.0,162.0,3.0,1,0,sales,low
Anthony Cook,0,0.84,0.97,4.0,253.0,2.0,1,0,sales,low
Georgia Klein,0,0.9,0.77,4.0,236.0,3.0,0,0,sales,low
Loretta Moreno,0,0.18,0.84,4.0,231.0,5.0,0,0,sales,low
Earl Moody,0,0.52,0.71,2.0,231.0,2.0,0,0,sales,low
Mason Morrison,0,0.87,0.51,4.0,233.0,3.0,0,0,sales,low
Linnie Bishop,0,0.6,0.79,5.0,217.0,2.0,0,0,sales,low
Brett Little,0,0.72,0.93,4.0,174.0,2.0,0,0,sales,low
Dennis Nguyen,0,0.48,0.64,4.0,227.0,3.0,0,0,sales,low
Estelle Powell,0,0.75,0.53,3.0,222.0,2.0,0,0,sales,low
Sara Malone,0,0.85,0.55,2.0,207.0,6.0,0,0,sales,low
Herman Mendoza,0,0.39,0.41,6.0,115.0,3.0,0,0,sales,low
Billy Joseph,0,0.61,0.68,3.0,254.0,2.0,0,0,accounting,low
Curtis Chavez,0,0.6,0.61,4.0,170.0,3.0,0,0,accounting,low
Cecelia Steele,0,0.57,0.64,2.0,206.0,3.0,0,0,accounting,low
Estella Knight,0,0.19,0.68,5.0,149.0,3.0,0,0,hr,medium
Dorothy Bass,0,0.48,0.77,3.0,197.0,3.0,0,0,hr,medium
Duane Santiago,0,0.69,0.75,4.0,261.0,3.0,0,0,hr,medium
Ruby Owen,0,0.7,0.55,4.0,256.0,4.0,0,0,hr,medium
Leona McCarthy,0,0.65,0.92,3.0,219.0,3.0,0,0,technical,medium
Bradley Carter,0,0.81,0.96,4.0,143.0,3.0,1,0,technical,medium
Wayne Mathis,0,0.85,0.95,4.0,171.0,3.0,0,0,technical,medium
Nathaniel Clark,0,0.93,0.76,4.0,207.0,2.0,0,0,technical,medium
Lulu Douglas,0,0.72,0.94,4.0,235.0,3.0,0,0,technical,medium
Maud Daniels,0,0.49,0.55,2.0,173.0,3.0,0,0,technical,medium
Raymond Schmidt,0,0.94,0.47,5.0,131.0,6.0,0,0,technical,medium
Russell Howard,0,0.81,0.84,4.0,143.0,2.0,0,0,technical,medium
Mitchell Joseph,0,0.92,0.78,5.0,193.0,4.0,0,0,technical,high
Blake Nguyen,0,0.97,0.82,3.0,135.0,2.0,0,0,technical,low
Luke Lucas,0,0.98,0.61,4.0,265.0,2.0,1,0,technical,medium
Edna Bennett,0,0.44,0.45,3.0,133.0,2.0,1,0,support,medium
Rosalie Rivera,0,0.72,0.87,4.0,184.0,4.0,0,0,support,medium
Tillie Buchanan,0,0.8,0.73,5.0,135.0,3.0,0,0,support,medium
Eugenia Pittman,0,0.6,0.72,4.0,267.0,4.0,0,0,support,low
Genevieve Francis,0,0.89,0.65,4.0,184.0,3.0,0,0,support,low
Addie Palmer,0,0.69,0.57,5.0,227.0,2.0,0,0,support,low
Beulah Lawson,0,0.54,0.81,4.0,257.0,2.0,0,0,support,low
Lelia Brewer,0,0.97,0.75,5.0,235.0,3.0,1,0,support,low
Hallie Dunn,0,0.37,0.4,4.0,161.0,2.0,0,0,support,low
Chester Williamson,0,0.73,0.52,4.0,215.0,3.0,0,0,support,low
Francisco Owens,0,0.57,0.69,4.0,146.0,3.0,0,0,support,low
Dean Lopez,0,0.86,0.66,4.0,191.0,2.0,0,0,technical,low
Brian Flores,0,0.83,0.85,4.0,261.0,3.0,0,0,technical,low
Roxie McGee,0,0.19,0.52,5.0,200.0,5.0,0,0,technical,low
Celia Townsend,0,0.55,0.93,4.0,239.0,4.0,0,0,management,low
William Joseph,0,0.6,0.65,4.0,160.0,2.0,0,0,IT,low
Jesse Austin,0,0.62,0.71,3.0,177.0,3.0,1,0,IT,low
Hunter Fowler,0,0.65,0.55,5.0,215.0,2.0,0,0,IT,low
Johanna Daniel,0,0.4,0.48,4.0,97.0,2.0,0,0,IT,low
Herman May,0,0.82,0.78,5.0,231.0,2.0,1,0,IT,low
Myrtie Santiago,0,0.75,0.69,2.0,257.0,2.0,1,0,product_mng,low
Myrtle Collins,0,0.83,0.53,3.0,232.0,3.0,1,0,product_mng,low
Verna Lucas,0,0.77,0.78,4.0,212.0,3.0,0,0,product_mng,low
Amanda McGuire,0,0.59,0.98,4.0,198.0,3.0,0,0,product_mng,low
Lewis Brock,0,0.8,0.79,5.0,240.0,4.0,0,0,IT,medium
Teresa Caldwell,0,0.84,0.55,3.0,242.0,3.0,0,0,RandD,medium
Adeline Manning,0,0.88,0.71,4.0,250.0,3.0,0,0,RandD,medium
Elizabeth Cole,0,0.37,0.9,3.0,229.0,6.0,0,0,RandD,medium
Jay Mason,0,0.88,0.66,4.0,133.0,2.0,0,0,RandD,medium
Lura Foster,0,0.69,0.85,3.0,200.0,2.0,0,0,RandD,medium
Bernice Park,0,0.54,0.49,2.0,155.0,2.0,1,0,marketing,medium
Jose Cummings,0,0.76,0.57,5.0,139.0,4.0,0,0,sales,medium
Esther Harris,0,0.51,0.58,4.0,272.0,3.0,0,0,accounting,medium
Viola Hernandez,0,0.16,0.52,3.0,100.0,4.0,0,0,support,medium
Bettie Russell,0,0.65,0.6,5.0,160.0,3.0,0,0,technical,medium
Ina Cannon,0,0.54,0.81,5.0,195.0,4.0,0,0,management,medium
Jimmy Stevens,0,0.66,0.68,4.0,152.0,3.0,0,0,marketing,high
Isaac Norton,0,0.95,0.65,5.0,182.0,3.0,0,0,marketing,low
Jean Mack,0,0.83,0.57,3.0,137.0,2.0,0,0,marketing,medium
Craig Boone,0,0.98,0.84,4.0,182.0,3.0,0,0,sales,medium
Cameron McGuire,0,0.72,0.72,3.0,217.0,2.0,0,0,sales,medium
Helen Baker,0,0.71,0.62,4.0,192.0,4.0,0,0,sales,medium
Leah Burke,0,0.36,0.65,3.0,116.0,2.0,1,0,sales,low
Lydia Henderson,0,0.55,0.65,4.0,170.0,4.0,0,0,sales,low
Brent Simmons,0,0.64,0.52,3.0,223.0,3.0,0,0,sales,low
Nicholas Herrera,0,0.62,0.57,3.0,174.0,2.0,0,0,sales,low
Leonard Meyer,0,1.0,0.95,3.0,193.0,6.0,0,0,sales,low
Carolyn Brooks,0,0.91,0.91,6.0,167.0,2.0,1,0,sales,low
Ian Tran,0,0.81,0.67,4.0,225.0,3.0,0,0,sales,low
Dean Barber,0,0.71,0.92,4.0,248.0,3.0,1,0,sales,low
Ronald Mullins,0,0.97,0.74,3.0,104.0,5.0,0,0,sales,low
Bertie Adkins,0,0.75,0.86,6.0,148.0,4.0,0,0,sales,low
Cora George,0,0.68,1.0,3.0,148.0,4.0,1,0,sales,low
Billy West,0,0.87,0.68,5.0,187.0,3.0,0,0,sales,low
Belle Wolfe,0,0.96,0.57,3.0,151.0,2.0,0,0,sales,low
Francis Hogan,0,0.41,0.86,6.0,215.0,5.0,0,0,sales,low
Mason Reeves,0,0.81,0.61,4.0,142.0,4.0,0,0,sales,low
Madge Schneider,0,0.68,1.0,6.0,258.0,5.0,0,0,sales,low
Violet Klein,0,0.63,0.56,4.0,228.0,3.0,0,0,accounting,low
Glenn Ruiz,0,0.6,0.84,2.0,221.0,3.0,0,0,accounting,low
Jane Hamilton,0,0.66,0.97,3.0,263.0,3.0,0,0,accounting,medium
Isabelle Ray,0,0.69,0.82,4.0,273.0,4.0,0,0,hr,medium
Caleb Cummings,0,0.23,0.37,3.0,247.0,4.0,0,0,hr,medium
Lettie Ballard,0,0.52,0.63,3.0,225.0,3.0,0,0,hr,medium
Manuel Roberson,0,0.65,0.86,4.0,269.0,2.0,1,0,hr,medium
Ian Henderson,0,0.78,0.4,6.0,174.0,3.0,0,0,technical,medium
Florence Holmes,0,0.6,0.65,5.0,201.0,2.0,0,0,technical,medium
Jeanette Wade,0,0.9,0.62,3.0,254.0,3.0,0,0,technical,medium
Jordan Hughes,0,0.59,0.95,5.0,254.0,2.0,0,0,technical,medium
Julian Ellis,0,0.89,0.78,3.0,185.0,2.0,1,0,technical,medium
Herbert Poole,0,0.96,0.85,4.0,200.0,4.0,0,0,technical,medium
Gregory Sullivan,0,0.68,0.76,3.0,190.0,3.0,1,0,technical,medium
Ola Hart,0,0.52,0.72,2.0,160.0,2.0,0,0,technical,high
Aaron Simpson,0,0.68,0.94,3.0,264.0,2.0,0,0,technical,low
Lucinda Fisher,0,0.6,0.59,3.0,172.0,3.0,0,0,technical,medium
Don Brock,0,0.28,0.83,5.0,279.0,4.0,0,0,technical,medium
Della Little,0,0.98,0.54,5.0,260.0,3.0,0,0,support,medium
Leon Burton,0,0.67,0.52,4.0,262.0,2.0,0,0,support,medium
Annie Robertson,0,0.86,0.6,5.0,134.0,2.0,1,0,support,low
Tommy Chapman,0,0.83,0.9,3.0,195.0,3.0,0,0,support,low
Jackson Mathis,0,0.79,0.86,3.0,139.0,3.0,0,0,support,low
Christina Torres,0,0.54,0.86,4.0,205.0,5.0,0,0,support,low
Luella Scott,0,0.51,0.86,5.0,212.0,2.0,0,0,support,low
Matthew Manning,0,0.75,0.65,4.0,148.0,2.0,0,0,support,low
Allen Ramsey,0,0.51,0.67,4.0,228.0,3.0,0,0,support,low
Bertha Figueroa,0,0.73,0.74,5.0,230.0,3.0,0,0,support,low
Edwin Hunter,0,0.17,0.4,4.0,286.0,3.0,0,0,support,low
Kenneth Gilbert,0,0.88,0.59,4.0,142.0,3.0,0,0,technical,low
Erik Young,0,0.76,0.79,3.0,161.0,3.0,0,0,technical,low
Bruce Colon,0,0.29,0.77,3.0,152.0,3.0,1,0,technical,low
Anne Hicks,0,0.62,0.97,4.0,266.0,3.0,0,0,management,low
Carl McDaniel,0,0.5,0.85,2.0,143.0,3.0,0,0,IT,low
Rosalie Walton,0,0.16,0.65,5.0,165.0,3.0,0,0,IT,low
Todd Wilkins,0,0.18,0.99,4.0,204.0,6.0,0,0,IT,low
Allen Cain,0,0.86,0.68,4.0,170.0,2.0,0,0,IT,low
Ora Joseph,0,0.68,0.52,5.0,203.0,3.0,0,0,IT,low
Linnie Frank,0,0.68,0.85,3.0,199.0,3.0,0,0,product_mng,low
Harriet McGuire,0,0.89,0.78,4.0,223.0,3.0,0,0,product_mng,low
Ruby Goodman,0,0.86,0.88,4.0,220.0,2.0,0,0,product_mng,low
Nelle Watts,0,0.43,0.41,4.0,190.0,3.0,0,0,product_mng,medium
Jane Moody,0,0.85,0.58,4.0,143.0,6.0,1,0,IT,medium
Catherine Vargas,0,0.94,0.8,5.0,111.0,4.0,0,1,RandD,medium
Jack Watkins,0,0.58,0.71,4.0,145.0,3.0,1,1,RandD,medium
Warren Sharp,0,0.43,0.6,3.0,138.0,3.0,0,1,RandD,medium
Derek Clayton,0,0.72,0.49,3.0,203.0,3.0,0,1,RandD,medium
Viola Barber,0,0.95,0.96,5.0,175.0,3.0,1,1,RandD,medium
Isabella Klein,0,0.35,0.67,3.0,119.0,3.0,0,1,marketing,medium
Edna Webb,0,0.77,0.79,3.0,157.0,3.0,0,1,sales,medium
Bernard Hughes,0,0.74,0.7,5.0,135.0,2.0,0,1,accounting,medium
Bess Romero,0,0.5,0.6,4.0,200.0,2.0,0,1,support,medium
Kenneth Ramirez,0,0.87,0.56,4.0,121.0,2.0,0,1,technical,medium
Francis Jensen,0,0.55,0.48,3.0,162.0,3.0,0,1,management,high
Mamie Hamilton,0,0.8,0.65,3.0,135.0,3.0,0,1,marketing,low
Sean Harrington,0,0.49,0.52,4.0,183.0,2.0,0,1,marketing,medium
Kyle Gonzalez,0,0.54,0.92,4.0,228.0,3.0,0,1,marketing,medium
Fannie Paul,0,0.21,0.87,4.0,148.0,5.0,0,0,sales,medium
Brandon Price,0,0.77,0.77,3.0,219.0,2.0,0,0,sales,medium
Eunice Colon,0,0.53,0.73,4.0,147.0,3.0,0,0,sales,low
Tony Reed,0,0.89,0.49,5.0,165.0,6.0,0,0,sales,low
Agnes Malone,0,0.25,0.59,4.0,218.0,3.0,1,0,sales,low
Ada Ross,0,0.53,0.59,3.0,231.0,2.0,0,0,sales,low
Micheal Morton,0,0.44,0.45,2.0,124.0,3.0,0,0,sales,low
Katie Keller,0,0.7,0.44,2.0,131.0,2.0,0,0,sales,low
Lee Hall,0,0.54,0.76,3.0,199.0,4.0,0,0,sales,low
Brett Lopez,0,0.9,0.56,3.0,220.0,3.0,0,0,sales,low
Ernest West,0,0.69,0.8,5.0,215.0,3.0,0,0,sales,low
Susie Holloway,0,0.78,0.59,4.0,180.0,3.0,0,0,sales,low
Tillie Underwood,0,0.91,0.49,6.0,272.0,6.0,0,0,sales,low
Lucas Padilla,0,0.92,0.61,2.0,228.0,2.0,0,0,sales,low
Henry Lynch,0,0.96,0.88,3.0,168.0,2.0,0,0,sales,low
Grace Hansen,0,0.8,0.77,4.0,205.0,2.0,0,0,sales,low
Gerald Harmon,0,0.52,0.67,3.0,244.0,3.0,0,0,sales,low
Bernard Jordan,0,0.52,0.97,3.0,185.0,2.0,0,0,sales,low
Tillie Wright,0,0.93,0.96,5.0,135.0,3.0,1,0,sales,low
Hunter Kennedy,0,0.89,0.9,4.0,160.0,2.0,0,0,accounting,low
Howard Sharp,0,0.83,0.61,4.0,262.0,4.0,0,0,accounting,low
Leona Roberts,0,0.7,0.84,6.0,225.0,6.0,0,0,accounting,low
Celia Hanson,0,0.89,0.74,4.0,174.0,2.0,0,0,hr,low
Clara Barker,0,0.21,0.37,6.0,266.0,3.0,0,1,hr,medium
Stephen McGee,0,0.67,0.78,4.0,241.0,4.0,0,1,hr,medium
Ivan Beck,0,0.73,0.97,3.0,245.0,2.0,0,1,hr,medium
Albert Abbott,0,0.85,0.51,3.0,261.0,4.0,0,1,technical,medium
Randy Becker,0,0.54,0.85,4.0,157.0,3.0,0,1,technical,medium
Teresa Brewer,0,0.74,0.94,3.0,286.0,6.0,0,1,technical,medium
Oscar McGee,0,0.71,0.65,4.0,263.0,2.0,1,1,technical,medium
Chad Bishop,0,0.76,0.52,2.0,229.0,3.0,0,1,technical,medium
Clyde Ortega,0,0.85,0.5,4.0,159.0,2.0,0,1,technical,medium
Mina Nelson,0,0.82,0.89,4.0,196.0,3.0,0,1,technical,medium
Samuel Cole,0,0.71,0.79,4.0,133.0,3.0,0,1,technical,medium
Roger Olson,0,0.79,0.65,5.0,228.0,3.0,0,1,technical,medium
Jayden Richardson,0,0.86,0.56,4.0,247.0,3.0,0,1,technical,high
Lucinda Sullivan,0,0.9,0.78,5.0,215.0,3.0,0,1,technical,low
Edwin Schwartz,0,0.65,0.8,6.0,233.0,3.0,1,1,support,medium
Bryan Turner,0,0.53,0.74,5.0,237.0,2.0,0,1,support,medium
Henry McGee,0,0.51,0.91,4.0,269.0,5.0,0,1,support,medium
Lloyd Romero,0,1.0,0.76,6.0,246.0,3.0,1,1,support,medium
Randy Francis,0,0.92,0.82,4.0,168.0,3.0,0,1,support,low
Lou Walker,0,1.0,0.59,3.0,168.0,3.0,0,1,support,low
Earl Cunningham,0,0.23,0.67,4.0,163.0,5.0,0,1,support,low
Bettie Williamson,0,0.52,0.77,3.0,142.0,2.0,0,1,support,low
Marian Quinn,0,0.8,0.83,4.0,183.0,2.0,1,1,support,low
Marcus Parks,0,0.59,0.72,4.0,264.0,3.0,0,0,support,low
Ellen Roy,0,0.75,0.55,2.0,184.0,2.0,0,0,support,low
Sylvia Henry,0,0.99,0.58,4.0,138.0,3.0,0,0,technical,low
Chris Hamilton,0,0.57,0.76,3.0,195.0,3.0,0,0,technical,medium
Floyd Vasquez,0,0.87,0.95,4.0,251.0,3.0,0,0,technical,medium
Ricky Perez,0,0.52,0.47,3.0,108.0,5.0,0,0,management,medium
Amanda Lewis,0,0.57,0.9,3.0,144.0,2.0,0,0,IT,medium
Lillie Brooks,0,0.32,0.77,6.0,112.0,4.0,0,0,IT,medium
Laura Hart,0,0.66,0.81,2.0,201.0,3.0,0,0,IT,medium
Sean Lawrence,0,0.53,0.8,4.0,204.0,3.0,0,0,IT,medium
Cameron Allen,0,0.55,0.62,5.0,226.0,3.0,0,0,IT,medium
Don Barber,0,0.66,0.9,3.0,217.0,4.0,0,0,product_mng,medium
Marguerite Atkins,0,0.69,0.92,4.0,149.0,2.0,0,0,product_mng,medium
Lura Roberts,0,0.67,0.99,5.0,237.0,3.0,0,0,product_mng,medium
Floyd Daniel,0,0.75,0.37,3.0,256.0,3.0,0,0,product_mng,medium
Landon Bass,0,0.7,0.98,4.0,194.0,2.0,0,0,IT,medium
Jesus Alvarez,0,0.71,0.74,3.0,202.0,2.0,0,0,RandD,medium
Jeffrey Singleton,0,0.97,0.6,5.0,133.0,2.0,0,0,RandD,medium
Clarence Garrett,0,0.5,0.48,3.0,246.0,3.0,0,0,RandD,medium
Millie Carter,0,0.34,0.92,3.0,206.0,3.0,0,0,RandD,medium
Randy Cox,0,0.67,0.74,3.0,204.0,3.0,0,0,RandD,medium
Mina Williamson,0,0.78,0.98,4.0,157.0,3.0,0,0,marketing,medium
Annie Moss,0,0.52,0.91,4.0,187.0,2.0,0,0,sales,medium
Lettie Walters,0,0.91,0.51,2.0,211.0,2.0,0,0,accounting,medium
Bryan Briggs,0,0.79,0.92,3.0,204.0,3.0,0,0,support,medium
Leon Carr,0,0.83,0.53,5.0,182.0,2.0,1,0,technical,medium
Herbert Bell,0,0.74,0.76,3.0,244.0,3.0,0,0,management,medium
Andre Roy,0,0.77,0.97,3.0,184.0,3.0,1,0,marketing,medium
Joseph Potter,0,0.49,0.71,2.0,117.0,3.0,0,0,marketing,high
Cody Bishop,0,0.94,0.89,3.0,230.0,3.0,1,0,marketing,high
Pearl Waters,0,0.99,0.91,3.0,241.0,2.0,0,0,sales,high
Alice Sanders,0,0.69,0.84,3.0,227.0,3.0,1,0,sales,high
Lester Cox,0,0.88,0.59,5.0,147.0,4.0,0,0,sales,high
Willie Flores,0,0.89,0.9,3.0,240.0,3.0,0,0,sales,high
Roy McKenzie,0,0.8,0.58,4.0,238.0,2.0,0,0,sales,high
Scott Valdez,0,0.22,0.89,4.0,262.0,4.0,0,0,sales,high
Betty Butler,0,0.87,0.83,4.0,215.0,2.0,0,0,sales,high
Sam Arnold,0,0.66,0.66,3.0,211.0,4.0,0,0,sales,high
Manuel Underwood,0,0.9,0.68,3.0,156.0,3.0,1,0,sales,high
Chase Mitchell,0,0.95,0.54,4.0,180.0,5.0,0,0,sales,high
Madge Cross,0,0.49,0.56,4.0,260.0,6.0,0,0,sales,low
Sallie Daniel,0,0.71,0.68,4.0,228.0,2.0,0,0,sales,low
Ina Chandler,0,0.2,0.96,2.0,249.0,3.0,0,0,sales,low
Joseph Rhodes,0,0.95,0.64,3.0,242.0,5.0,1,0,sales,low
Edith Luna,0,0.68,0.8,2.0,254.0,2.0,1,0,sales,low
Dylan Carlson,0,0.93,0.68,3.0,272.0,2.0,1,0,sales,low
Garrett Russell,0,0.85,0.57,5.0,210.0,3.0,0,0,sales,low
Angel Ellis,0,0.82,0.68,3.0,140.0,2.0,0,0,sales,low
Rosalie Martinez,0,0.87,0.42,5.0,252.0,5.0,0,0,sales,low
Sallie Colon,0,0.88,0.84,3.0,266.0,3.0,0,0,accounting,low
Nina Duncan,0,0.98,0.79,4.0,138.0,3.0,0,0,accounting,low
Myrtie Padilla,0,0.89,0.98,3.0,220.0,3.0,0,0,accounting,low
Antonio Snyder,0,0.92,0.51,5.0,214.0,3.0,0,0,hr,low
Bruce Santiago,0,0.48,0.6,2.0,121.0,5.0,0,0,hr,low
Florence Flowers,0,0.67,0.49,4.0,195.0,3.0,0,0,hr,low
Christopher Evans,0,0.84,0.55,3.0,135.0,3.0,0,0,hr,medium
Erik Palmer,0,0.97,0.78,4.0,261.0,2.0,0,0,technical,medium
Amanda Simon,0,0.65,0.53,5.0,205.0,3.0,1,0,technical,medium
Maude Ballard,0,0.79,0.87,5.0,240.0,2.0,1,0,technical,medium
Gerald Carr,0,0.75,0.75,2.0,141.0,4.0,0,0,technical,medium
Ora Greene,0,0.69,0.64,4.0,200.0,3.0,0,0,technical,medium
Christopher Neal,0,0.85,0.6,4.0,257.0,3.0,0,0,technical,medium
Etta Tate,0,0.34,0.41,2.0,141.0,3.0,0,0,technical,medium
Stanley Parker,0,0.97,0.68,3.0,185.0,2.0,0,0,technical,medium
Glen Rodriguez,0,0.39,0.99,6.0,235.0,6.0,0,0,technical,medium
Leona Palmer,0,0.54,0.81,4.0,264.0,4.0,0,0,technical,medium
Adele Frazier,0,0.78,0.67,4.0,260.0,3.0,0,0,technical,medium
Don Barton,0,0.49,0.79,4.0,158.0,3.0,0,0,support,high
Jeffrey Payne,0,0.17,0.83,6.0,195.0,5.0,0,0,support,high
Viola Bush,0,0.98,0.81,3.0,180.0,2.0,1,0,support,high
Beatrice Carson,0,0.9,1.0,2.0,114.0,5.0,0,0,support,high
Owen Jimenez,0,0.24,0.89,5.0,228.0,4.0,1,0,support,high
Ella Larson,0,0.92,0.79,5.0,243.0,3.0,1,0,support,high
Blake Moss,0,0.36,0.72,3.0,179.0,3.0,0,0,support,high
Hannah McKinney,0,0.19,0.76,2.0,158.0,3.0,0,0,support,high
Harriett Pope,0,0.75,0.76,4.0,254.0,4.0,0,0,support,low
Justin Spencer,0,0.91,0.81,3.0,220.0,3.0,1,0,support,low
Joseph Ward,0,0.72,0.95,5.0,171.0,3.0,0,0,support,low
Nellie Parker,0,0.62,0.64,4.0,142.0,2.0,0,0,technical,low
Marc Hampton,0,0.97,0.75,3.0,241.0,2.0,0,0,technical,low
Mattie Kelley,0,0.69,0.64,3.0,275.0,3.0,0,0,technical,low
Stanley Briggs,0,0.98,0.56,3.0,157.0,2.0,0,0,management,low
Richard Ramirez,0,0.62,0.53,5.0,169.0,3.0,0,0,IT,low
Garrett Harrison,0,0.59,0.82,2.0,233.0,2.0,0,0,IT,medium
Derrick Anderson,0,0.73,0.98,4.0,160.0,3.0,0,0,IT,medium
Fanny Franklin,0,0.71,0.79,3.0,189.0,3.0,0,0,IT,medium
Elmer Tyler,0,0.85,0.58,4.0,273.0,4.0,0,0,IT,medium
Corey Austin,0,0.8,0.94,4.0,141.0,3.0,1,0,product_mng,medium
Edith Wilson,0,0.48,0.38,3.0,134.0,3.0,0,0,product_mng,medium
Florence Evans,0,0.64,0.4,3.0,248.0,3.0,0,0,product_mng,medium
Estelle Young,0,0.19,0.64,6.0,222.0,5.0,0,0,product_mng,medium
Georgie Cross,0,0.82,0.69,5.0,219.0,3.0,0,0,IT,medium
Keith Barton,0,0.99,0.96,4.0,202.0,3.0,0,0,RandD,medium
Kathryn Brown,0,0.45,0.58,3.0,200.0,2.0,0,0,RandD,medium
Norman Park,0,0.89,0.89,3.0,138.0,2.0,0,0,RandD,medium
Hester Wallace,0,0.75,0.78,4.0,158.0,5.0,1,0,RandD,medium
Bessie Carlson,0,0.8,0.86,3.0,136.0,2.0,0,0,RandD,medium
Anthony Quinn,0,0.78,0.49,4.0,222.0,2.0,0,0,marketing,medium
Isabelle Garza,0,0.95,0.76,3.0,236.0,2.0,1,0,sales,medium
Linnie Fletcher,0,0.68,0.67,4.0,135.0,2.0,0,0,accounting,medium
Dennis Kelley,0,0.82,0.97,5.0,235.0,3.0,0,0,support,medium
